,X,Y
127,สิ่งดีงามควรรักษา,pos
128,ความสุขง่ายขึ้นอยู่ใจ,pos
129,อย่าทิ้งเค้า,pos
130,สำคัญ,pos
131,เข้มแข็งเข้าไว้สู้,pos
132,เห็นด้วย,pos
133,พูดดี,pos
134,แคร์ตัวเอง,pos
135,บินไปให้ถึงฝัน,pos
136,การทำความดี,pos
137,ชนะใจด้วยการกระทำ,pos
138,ความสมบูรณ์แบบ,pos
139,ความสุขในความคิด,pos
140,ชื่นชมทำได้ดีมาก,pos
141,ปังมาก,pos
142,ดีช่วยที่กำลังจะตกจากอาคารสูงน่าชื่นชม,pos
143,ชอบช่วยเหลือผู้อื่น,pos
144,มิตรภาพที่ดีที่สุด,pos
145,เชื่อมั่นคุณธรรมความดี,pos
146,หอมน่ากิน,pos
147,อยากรัก,pos
148,น่าเรียนจัง,pos
149,น่ากินน่าอร่อย,pos
150,ยินดีที่ได้รู้จัก,pos
151,ใส่บาตรทำบุญ,pos
152,นี้ที่ดี,pos
153,สู้ต่อไปสู้ต่อ,pos
154,แคร์ความรู้สึก,pos
155,เราโอเค,pos
156,ผูกพัน,pos
157,มากอดมา,pos
158,สนใจ,pos
159,กำลังใจ,pos
160,สำคัญสุด,pos
161,ขอข้ารองพระบาททุกชาติไป,pos
162,ไม่ไหนไม่คิดถึง,pos
163,เรารักในหลวง,pos
164,อยากรู้จักจัง,pos
165,ยกความดีความชอบให้,pos
166,ช่วงที่ดีที่สุด,pos
167,ไทยไม่ทิ้งเร่งช่วยเหลือ,pos
168,เหลือเชื่อมาก,pos
169,น่าตื่นเต้นและยิ่งใหญ่มาก,pos
170,เจ๋งไป,pos
171,ทำทุกอย่างเพื่อปกป้องโลก,pos
172,อดใจรอไม่ไหว,pos
173,พอใจการทำงาน,pos
174,ภาคภูมิใจ,pos
175,ศรัทธา,pos
176,เจริญเติบโตอย่างแข็งแกร่งและสวยงาม,pos
177,ตอบแทนความหวังดีด้วยการตั้งใจเรียนตั้งใจทำงาน,pos
178,อยากกลับไปรื้อฟื้นความทรงจำดี,pos
179,พยายามสุดความสามารถ,pos
180,จะสู้จนกว่าจะชนะ,pos
181,สนุกมาก,pos
182,สนุกสนาน,pos
183,ฉันเคยเกือบพลาดสิ่งที่ดีที่สุดในชีวิต,pos
184,ขอบคุณที่รัก,pos
185,อย่ายอมแพ้,pos
186,ถึงเส้นชัย,pos
187,ชัยชนะสิ่งที่คุ้มค่า,pos
188,อย่าอ่อนแอแม้จะร้องไห้,pos
189,อย่าอ่อนแอร้องไห้ไปสู้,pos
190,ศรัทธาไม่ท้อ,pos
191,อร่อยที่สุดในโลก,pos
192,จุดมุ่งหมายอันทะเยอทะยาน,pos
193,เซอร์ไพรส์,pos
194,จะไม่ลืมดีนี้,pos
195,สู้สู้,pos
196,นับช่วงชีวิตที่ดีที่สุดแม้แค่เพียงเวลาสั้น,pos
197,มาเชียร์เพื่อน,pos
198,รักให้ทำปากจู๋ขอหัวใจละดวงจุ้บ,pos
199,พยายามแบ๊ว,pos
200,ดีที่สุด,pos
201,ขอกำลังใจหน่อย,pos
202,ทุกพูดความจริง,pos
203,เธอน่ารักจังทำให้ใจเซ,pos
204,กล้องของที่สวยงาม,pos
205,ข่าวดีมาบอก,pos
206,น่ารักแถมความรู้ด้วยสนใจป่าว,pos
207,เธอเรียบร้อย,pos
208,ชอบจิตใจดีและขยันมากกว่า,pos
209,ปรบมือตามระเบียบ,pos
210,น้ำใจนักกีฬา,pos
211,ปลอดภัยไว้ก่อนป้องกันไว้,pos
212,เข้าใจง่ายสะดวกรวดเร็ว,pos
213,คุณค่าที่คู่ควร,pos
214,น่ารักอ่ะอยากเดินจับมือไปจนแก่,pos
215,ว้อนอยากได้,pos
216,ไม่อดตาย,pos
217,สนับสนุนส่งเสริมความสามัคคี,pos
218,อยู่ไหนก็รักเหมือนเดิม,pos
219,ขอกอดหน่อย,pos
220,ดีเนาะ,pos
221,ฝันดี,pos
222,ของอร่อยน่ากิน,pos
223,เห็นด้วย,pos
224,ดีต่อใจ,pos
225,ประหยัด,pos
226,เชียร์,pos
227,สดใส,pos
228,เก่งขึ้นมาก,pos
229,ขอบคุณที่ติดตาม,pos
230,ฝีมือพัฒนาเร็วมาก,pos
231,คำพูดหวานหวาน,pos
232,หวานน่ากิน,pos
233,จีบหวาน,pos
234,คบไหม,pos
235,แอบรัก,pos
236,คาดหวัง,pos
237,เขิน,pos
238,เพื่อนรัก,pos
239,ได้ฉันก็ได้,pos
240,ฝึกฝนจนเก่ง,pos
241,ชอบความรู้สึกแบบนี้น่ะ,pos
242,ตั้งเเต่เราคุยเหมือนเราเจอมากขึ้น,pos
243,ให้นึกถึง,pos
244,เชื่อมั่นในตนเอง,pos
245,แรงบันดาลใจให้ใฝ่เรียน,pos
246,ห่วงเสมอ,pos
247,ได้ฟังเพลงที่ชอบ,pos
248,แบบโมเม้นที่ความรักรักเราทำอะไรซักอย่างให้เรามั่นใจแบบนี้ได้โคตรปลื้มใจ,pos
249,ถึงแพ้ก็จะไม่ยอมถอย,pos
250,ลาก่อนเดี๋ยวได้เจออีก,pos
251,สู้ไม่ถอย,pos
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
466,ว้าย,
